genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
"[28, 18, 36]",492008,ko,"After being blinded in a coup against the king, Joseon's greatest swordsman goes into hiding, far removed from his city's anguish. But when traffickers kidnap his daughter, he has no choice but to unsheathe his sword once more.",249.701,2020-09-23,The Swordsman,7.554,193
"[16, 28, 14]",1034062,en,"In 1980s Hollywood, action star Johnny Cage is looking to become an A-list actor. But when his costar, Jennifer, goes missing from set, Johnny finds himself thrust into a world filled with shadows, danger, and deceit. As he embarks on a bloody journey, Johnny quickly discovers the City of Angels has more than a few devils in its midst.",263.541,2023-10-17,Mortal Kombat Legends: Cage Match,6.952,62
"[80, 18, 36]",466420,en,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",237.69,2023-10-18,Killers of the Flower Moon,7.717,966
"[28, 53, 80]",1007427,en,"Mother Holly McCord is driven to extremes to save the life of her young son. Even if it means hauling black market drugs in her souped-up truck, with the Feds in hot pursuit. With two bounties on her head and her son’s life on the line, Holly climbs behind the wheel of “Night Train,” ready to outrun, out gun, and outlast them all.",263.716,2023-01-13,Night Train,6.313,24
"[28, 53]",717930,en,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",247.153,2023-05-25,Kandahar,6.932,722
"[27, 878, 53]",709716,th,"When a mysterious monster rises from the Mekong River and attacked Bueng Kan, cuts off people from the outside world. Officials and people in the area, including Chinese scientists who accidentally came to conduct research in Thailand, all forces must be mobilized to catch this crazy monster before it's too late.",309.145,2022-08-18,The Lake,5.8,56
"[36, 18, 10752]",753342,en,"A personal look at the French military leader’s origins and swift, ruthless climb to emperor, viewed through the prism of Napoleon’s addictive, volatile relationship with his wife and one true love, Josephine.",217.808,2023-11-22,Napoleon,6.2,4
"[16, 35, 10751]",8920,en,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",215.929,2004-06-10,Garfield,5.7,3673
"[16, 10751, 28, 14, 10749]",496450,fr,"A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",224.993,2023-07-05,"Miraculous: Ladybug & Cat Noir, The Movie",7.764,659
"[28, 18]",997391,ml,"Once-menacing, anger fueled, trained martial arts fighters Robert, Dony and Xavier settle down to peaceful lives, after a significant event prompts them. Fate orchestrates their reunion and return from exile to their fighting ways, when their history linger ominously and one of them faces a violent attack.",233.323,2023-08-25,RDX: Robert Dony Xavier,6.88,25
"[53, 27]",635910,en,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,227.573,2023-08-09,The Last Voyage of the Demeter,7.171,917
"[27, 53, 9648]",1071215,en,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",206.755,2023-11-16,Thanksgiving,6.1,25
"[16, 35, 10751]",8920,en,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",215.929,2004-06-10,Garfield,5.7,3673
"[16, 10751, 28, 14, 10749]",496450,fr,"A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",224.993,2023-07-05,"Miraculous: Ladybug & Cat Noir, The Movie",7.764,659
"[28, 12, 878]",505642,en,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",213.158,2022-11-09,Black Panther: Wakanda Forever,7.17,5626
"[28, 18]",997391,ml,"Once-menacing, anger fueled, trained martial arts fighters Robert, Dony and Xavier settle down to peaceful lives, after a significant event prompts them. Fate orchestrates their reunion and return from exile to their fighting ways, when their history linger ominously and one of them faces a violent attack.",233.323,2023-08-25,RDX: Robert Dony Xavier,6.88,25
"[53, 27]",635910,en,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,227.573,2023-08-09,The Last Voyage of the Demeter,7.171,917
"[28, 80, 53]",961268,ko,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.",206.942,2023-10-05,Ballerina,6.985,304
"[27, 53, 9648]",1071215,en,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",206.755,2023-11-16,Thanksgiving,6.1,25
"[28, 878, 80]",1116598,es,"In a near future, crimes and accidents have disappeared because it has become possible to call the past. However, the peace will be disturbed by a killer who seems to have found the one crack in the system.",206.238,2023-04-27,Control Zeta,2.0,1
"[27, 53, 28]",899445,en,A solo trip aboard a yacht takes a terrifying turn when a woman encounters three drug traffickers clinging to the shattered remains of a boat. They soon force her to dive into shark-infested waters to retrieve kilos of cocaine from the sunken wreck.,232.542,2023-10-18,Deep Fear,5.206,17
"[28, 18]",1178734,ja,Ran participates in a death match in order to save her missing sister Yuzuki.,240.332,2023-10-25,Knuckle Girl,6.5,10
"[18, 28]",677179,en,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",198.152,2023-03-01,Creed III,7.181,2082
"[28, 18, 80, 35]",1077600,ja,"Chisato and Mahiro were banned from performing tasks because they violated the organization's rules?! Needing money to make ends meet, they resumed their days as part time workers. The two are busy working to earn money, but they suddenly encounter other assassins who are after them. What should they do if they can't reveal their identity as assassins when they are not on duty?",197.982,2023-03-24,Baby Assassins 2 Babies,6.8,10
"[9648, 53, 80]",945729,en,"Celebrated sleuth Hercule Poirot, now retired and living in self-imposed exile in Venice, reluctantly attends a Halloween séance at a decaying, haunted palazzo. When one of the guests is murdered, the detective is thrust into a sinister world of shadows and secrets.",197.721,2023-09-13,A Haunting in Venice,6.808,1164
"[27, 878]",584004,en,"In the nearest future, the Catholic Church learnt how to resurrect people. The whole process is kept secret and follows strict rules: only sinless believers under the age of 65 can be resurrected. The film is set on the computer of Stanley, an on-line church priest who helps those who were brought back to life. He is divorced and his son lives with his ex-wife, so he can chat with him only on-line. Stanley's son was the first person to be resurrected after he died in a car accident that Stanley caused. Soon Stanley learns that there is a huge conspiracy behind the resurrection process.",261.744,2023-04-27,Resurrected,6.554,28
"[16, 35, 10751, 14]",568124,en,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",203.367,2021-10-13,Encanto,7.623,8763
